0	a monkey is eating	a man pick up a small monkey, a person is holding two baby lorises, a man shows us two slow loris, a person is holding two baby pygmy lorises, someone is holding to pygmy loris, the new bore animals, a person is caring small animals on her hamnds, a person wearing gloves holds two baby pygmies, a man is holding two loris, a woman is holding two baby loris, a woman is holding two small lorises, a researcher is showing two small pandas, a man is holding two baby pygmy loris, two just born loris in doctors hands, a man is talking pygmy iris in his hands, a person is holding two slow loriss, someone is holding two animals, a man is holding two small furry animals one in each hand, the zoo keeper is holding pygmy twins, a woman is holding two small animals, a person is holding two animals, a veterinarian holds two baby animals, a man is holding baby monkeys, very rare pygmy loris twins born at moody gardens video, a doctor is showing the pygmy loris, a person is carrying very small animals, two loris were born and a lady is having it in her hand, the nursery workey held two baby mammals, the person is holding two baby loris, a person holds two slow loriss, a person is showing two small loris, super twins, a man in a surgical mask is holding two small animals in the palms of his gloved hands, the woman is holding two baby loris animals, a man holds two stange animals, a boy is holding two pygmy loris, the man held two baby animals in his hands, a women is showing two very small animal, a man holds two small animals in his hands, a man showcases twin pygmy loris held in either hand
1	a man is talking	a lady drank alcohol from the bottle, a woman is drinking a bottle of alcohol, a woman is drinking, one lady is drinking water, a woman drinking alcohol from a bottle, a woman is drinking liquor straight from the bottle, a women drinking, the woman is drinking a lot of vodka straight from the bottle, a woman is drinking a liquid, a woman drinking alcohol from a bottle, a woman is drinking a drink from a bottle, a woman is drinking from a bottle, a woman is having drinks bottle, a woman is drinking from a bottle of alcohol, a woman is drinking, a woman chugs liquor straight from the bottle, a lady is drinking some thing, a girl is taking a water, a lady is drinking water, a man is saying something, a woman drinks from a bottle, a lady drank alcohol straight from the bottle, a woman is drinking from a bottle, massive attack and live with me, a woman is sitting on a couch drinking liquor, a woman got somekind of attack due to which she is drinking a full bottle of wine, a woman drinks liquor straight from the bottle, a woman is drinkin alcohol out of a bottle, a woman is drinking, a woman is drinking liquor straight from the bottle, a depressed woman drinks alcohol all alone in her living room, a woman drinking, a girl is lying on the bed, life without water, a women is drinking, a woman is drinking from a bottle, a woman seated on a sofa chair is drinking the liquid straight from a bottle, a lady is drinking the liquor, a woman is drinking vodka, a girl drinks liquor, a woman is drinking, a woman is sitting in a chair taking a long drink from a bottle of some type of alcoholic beverage, a woman sits on a couch and drinks out of a bottle, one girl taking a drink, a girl drinking
2	a man is dancing	the boys are practicing dance steps, the boys are practicing dance, three men are dancing, dancing boys, youngsters are dancing, three kids are dancing in a kitchen, three boys are dancing, three boys are synchronized dancing, three boys are dancing, some boy dancing in the room, the boys did a choreographed dance in the house, the boys are dancing, some boys are dancing, some men are dancing, three boys are dancing in a synchronized fashion, three guys are dancing, three men are dancing, three boys are dancing, three men are dancing, three men are dancing, the boys are dancing, three teenage boys perform a dance routine, three boys are dancing, super dancing boys, three boys are dancing in the room, three boys dancing in a room, three young men are dancing, three boys are dancing, three young men are performing a dance together, three boys are dancing to gather, three boys are dancing, three boys are dancing in the living room, the friends were dancing, three young men are synchronized dancing, men are dancing, boys are dancing, men are playing, the three boys danced together in the kitchen, three boys dancing in a room to each other, three boys dance, boys are dancing and singing
3	a man is cooking	a person is pouring some liquid in the spoon, someone is pouring something into a measuring spoon, anyone is making dish, someone is filling a spoon with liquid, some one is making rice pudding, the person is cooking the something, a man cooking his kichen, a person fills a measuring cup with vanilla, a chef pours soy sauce into a measuring spoon, making egg amlate, the person is making omeket, rice pudding is very good i like it, someone is measuring out vanilla extract, the man is seasoning the eggs, the man added vanilla to the raw eggs, a man is pouring liquid flavoring into a measuring spoon, someone added vanilla to raw eggs, someone is pouring vanilla extract into a spoon, a man is pouring out vanilla into a spoon, a man puts vanilla in a tablespoon, a person pours a liquid into a spoon, a person is adding a souse on eggs, the lady poured vanilla into a measuring spoon to add to the raw eggs, the cook is adding liquid to the eggs, describe to making rice pudding, a person pours sauce on a spoon, someone is measuring out two tablespoons of vanilla to put into a bowl with two raw eggs, the person show how to prepare the rice pudding, a man is putting ingredients in a spoon, a man is adding some sauce to cracked eggs, a man is adding vanilla to some eggs, someone preparing something, a chef measures out some vanilla extract
4	a man is riding a car	a man is carrying the car, a man is lifting a car, a man lifts rear of car, a man is lifting a car, the man is lift the car backside and pour the car again, the man pull a car, a man lifts up a car, a man lifts his car from the ground, a man lifts the rear end of a car off the ground, a man is lifting a car, a man lifts the car from the rear, hevy wight champion, a person picks up a car, a man is lifting a car, a man is lifting and dropping a car, a man is lifting the back end of a car off the ground, someone lifts up the back of a blue car and then drops it, a man lifts up the rear end of a car, the man lifted the car, a man is lifting up the rear of a car, a man lifts up his car from the back end, a man is pushing a car, a man picks a car up off of its hind wheels, a man is pulling up a car from its backside, a man trying hard and lifting a car, he is lifting the car, the man lifted the car by its rear bumper, a man lifts up a car from the back, a person is lifting the car, the person is lifting the car, a man lifts the rear end of a car, a man is lifting the back of a car up off the ground, a man lift up the car and dropped, a man is lifting a car, a man pulling up a car from backside, a man lifted a car, a man is lifting up the back end of a car, a man lifted a car by its rear bumper, a man lifts a car with his hands, a man is lifting a car, a person lifts a car off of its rear wheels, a man lifts a car, a man lifting car, a man is trying to pick up a car, a man lifts up the back of a car, a man is lifting up a car, someone is lifting a car, a man lifts up a car with just his hands, the man lifted the car from its bumper
5	a man is playing a guitar	a man is playing drums, a man is playing the drums, a musician plays a drum kit, a percussionist plays as part of a band, a man is playing the drums, a person is playing drums, the drummer is playing his drums, the man is playing drums, a man plays the drums, a man is playing drums, a guy is playing drums, a man is playing drums, the man played his drums, a man is playing the drums, a band is playing music, a man plays the drum, the man is playing the drums, a man is playing drums, a man is playing the drums, a man is playing drums, a man is playing drums, a man playing drums, a man is playing a drum, a young man is playing the drums, a short clip about boys, a young man in dark clothes lying on the floor and reading, a boy is playing the drums, a young man doing exercise, a young man is playing the drums, a man played his drums, a young man is drumming, a young man in bed wakes up and he and another guy go workout at a gym, a boy is playing drums, a drummer is drumming, the man is playing the drums, a man is playing the drums, a young man is playing the drums, a drummer is performing, a boy practicing exercise in the gym, a guy is playing the drums, a man is sitting at a set of drums playing them, a man plays the drums, a man is playing the drums under spotlight, a boy is playing a set of drums, a boy taking push ups, a man is playing the drums, the drummer played his drums, a man is playing drums, a guy is playing the drums, a man is playing a drum set, a boy is playing music with his plates
6	a man is cutting paper	one man cutting paper with scissor, a man is cutting shapes out of paper, a man is cutting paper, a man is cutting a piece of paper, a man is cutting a paper, the man is cutting the paper with scissor, a person doing something, cuting pepars, a man is cutting paper into two equal strips, a man is cutting a piece of paper, the man is using scissors to cut paper, a man is cutting a paper with a scissors, a man is cutting a paper by scissor, a man is cutting a piece of paper in half, the man is cutting paper, a guy cuts paper, the man cut the paper with sissors, man cutting paper, a man is cutting the paper, a man cuts some paper, a man is cutting paper, a man cuts a piece of paper, a man is cutting a piece of paper, a man is cutting a piece of paper, a man is cutting some paper, a man is cutting a piece of paper in half lengthwise using scissors, the man cut a piece of paper, the man cut the paper along the fold, the man cut a piece of paper in half, a man is cutting a piece of paper, a man is cutting paper, the person is cutting paper
7	a man is playing a guitar	a man is playing instrument, a man is playing a guitar, a guy is singing while playing his guitar, a boy is playing gitur, a man playing his guitar, excellent music video, the man played his guitar, a man is playing guitar, a man is playing acoustic guitar, a man is playing a guitar, a man plays an acoustic guitar, a man seated is playing the guitar and humming a tune, a man is playing a guitar, the person is playing guttier, the man is playing the guitar, man playing guitar, a man is playing a guitar, a man is playing the guitar, a man is playing a guitar, a person is playing guittier, a man playing guitar, a man is playing a guitar, a man plays the guitar, a man is playing a gitar, a man is playing a guitar, a man is playing a guitar, a man is playing the guitar, a man is playing the guitar, a man is playing guitar, a man playing music, a person is playing music, nice guitar playeryouve a good future for both playing and singing, a man is playing the guitar, playing the music, a man is playing a guitar, a man is playing guitar, a boy playing a guitar, a man is playing guitar, a man is playing a guitar, the man is singing and playing the guitar, the man played his guitar, a man is playing guitar
8	a dog is playing	a dog is looking around, a dog leans on a counter, keep watching for customers, a dog is in a newsstand, a dog is sitting at a magazine booth, a dog sitting on a counter stairing someone, the dog is watching outside from the shop, a dog shopkeeper, a dog sat at the counter of a store, a dog is looking around, a dog is sitting and looking around, a dog mans the counter of a newsstand, a dog is watching a store counter, very brilliant dog video, a dog is sitting at a counter in a store, a dog is looking over a counter, a dog is sitting on a shop counter, a dog is sitting on a shoppingdesk, a dog tends a store checkout, a dog is sitting on the counter, this is a very cute dog in the book store watching people, a dog is standing infront of a counter, a dog is looking after the shop, a dog leans on a convenience store counter, a dog is sitting in a book shop, a dog stays at a vendors counter, the dog is standing at the counter, a dog is standing at a counter, a dog is at a newsstand, a dog tends a bookshop, a dog sits at the cash counter, the dog sat at the counter and watched people, a dog is standing behind a counter, a dog sit in the shop, a dog leans against a counter, a dog is at waiting at the counter, a dog is sitting on a stationary shop, a dog is sitting on a shopping desk, a dog is resting on a counter, the world in highest population in india, a dog is sitting behind a store counter, the dog is setting the shop, a dog watching, a dog is standing with its front paws resting on a counter filled with magazines
9	a woman is slicing a potato	chicken rice wrapped with fried egg video really super, a woman is chopping a bouillon cube, a woman is cutting up a boulon cube, a woman is cutting bouillon cubes, a woman removes a wrapper from a bouillon cube and then cuts it up, the women is preparing the chicken fried rice, a person is cutting something, a women is slicing, a woman is cutting a cubed food into small slices, a woman is slicing some food item, a man is making omurice chicken rice wrapped with fried egg, a woman unwraps and slices a bouillon cube, a woman is slicing a cub, racipe for omurice, the woman is slicing bouillon cubes, a woman cuts up food and adds food to a pan, a woman is chopping a bullion cube, a woman is slicing something, a man is slicing the brown bar in to pieces, a woman is cutting a bouillon cube, chicken rice, a woman cutting a bullion cube, a woman is cutting a bouillon cube into slices, a bouillon cube is being peeled and sliced, a woman is cutting a bullion cube, a woman slices a bouillon cube, a woman is chopping a bullion cube, a lady slices a buillon cube, a woman slices a bullion cube, the lady cut a bouillon cube, a woman is slicing a bullion cube, the man cut up a bouillon cube, a woman is cutting a bouillon cube, woman is saying about how to make omurice, a woman is cutting a cube of seasoning
